913 /,600,101250,129430,217729,295827,343810,16,359605,54.500%,1.65789,220.70,2.30
941 /viewbook,300,46566,37383,137049,172125,172132,70,172135,8.333%,.98438,77.11,0.59
965 /pagelist,300,10654,4852,18235,31432,135531,257,172135,1.333%,.86721,94.20,0.78
989 /createpage,300,7815,4758,11614,14536,45759,1397,130613,1.000%,.82975,32.71,0.78
1013 /savepage,600,37957,33970,79423,80108,82278,6224,221499,1.333%,1.44095,411.58,5.76
1039 /thepages/5c1674cb67556a1a2d745311,300,14317,10711,32325,34400,36250,2732,72058,0.000%,.76142,29.93,0.74
1063 /pagerank,300,10809,10752,15434,15903,20769,3006,77765,0.000%,.75662,55.19,0.74
1087 /mongorank,300,9711,9789,14631,18138,18973,4200,32947,0.000%,.75042,83.29,0.71
1111 /login,300,7100,6224,10166,11920,20695,1948,33001,0.000%,.76312,26.78,0.72
1125 /login,600,35584,38390,52399,60758,73514,5038,127032,0.000%,1.53085,752.23,4.65
1127 /home,300,9565,7006,21952,32233,34846,1800,39164,0.000%,.81272,35.93,0.77
1144 /books,300,9960,6628,18075,22759,32544,1672,79449,0.000%,.82826,680.52,0.78
1162 /books,600,19801,13791,37822,39874,51779,2172,91143,0.000%,1.66392,1983.03,3.72
1241 /thepages/5c1674b467556a1a2d745310,300,11304,9981,17170,20139,71532,999,77639,0.000%,.93007,41.59,0.91
1289 /thepages/5c16782267556a1a2d745313,300,10432,9564,16005,19203,22733,1035,70951,0.000%,.93879,41.97,0.92
1337 /thepages/5c167a4a67556a1a2d745315,300,9995,8736,16981,17181,20760,528,36799,0.000%,.95399,42.65,0.93
1217 /pagelist,300,31732,31407,43414,48458,87176,3613,112785,0.000%,.92447,124.00,2.71
TOTAL,6300,27578,12466,55159,130325,217720,16,359605,5.825%,14.51148,4023.58,24.43
